date,week,frecuency
01/30/10,04,1
05/06/10,18,1
05/09/10,19,1
07/04/10,27,1
07/17/10,28,2
07/18/10,29,1
07/22/10,29,1
07/23/10,29,1
07/27/10,30,1
07/29/10,30,1
08/08/10,32,1
08/16/10,33,1
08/18/10,33,1
08/19/10,33,1
08/21/10,33,3
09/02/10,35,3
09/03/10,35,3
09/04/10,35,4
09/05/10,36,4
09/06/10,36,1
09/07/10,36,5
09/08/10,36,2
09/09/10,36,4
09/10/10,36,2
09/11/10,36,5
09/12/10,37,2
09/13/10,37,1
09/14/10,37,3
09/15/10,37,6
09/16/10,37,1
09/17/10,37,8
09/18/10,37,6
09/19/10,38,9
09/20/10,38,9
09/21/10,38,11
09/22/10,38,13
09/23/10,38,18
09/24/10,38,18
09/25/10,38,25
09/26/10,39,12
09/27/10,39,8
09/28/10,39,13
09/29/10,39,23
09/30/10,39,18
10/01/10,39,41
10/02/10,39,31
10/03/10,40,31
10/04/10,40,51
10/05/10,40,32
10/06/10,40,43
10/07/10,40,40
10/08/10,40,38
10/09/10,40,38
10/10/10,41,54
10/11/10,41,43
10/12/10,41,30
10/13/10,41,49
10/14/10,41,33
10/15/10,41,38
10/16/10,41,48
10/17/10,42,43
10/18/10,42,45
10/19/10,42,54
10/20/10,42,50
10/21/10,42,51
10/22/10,42,49
10/23/10,42,32
10/24/10,43,44
10/25/10,43,34
10/26/10,43,27
10/27/10,43,35
10/28/10,43,35
10/29/10,43,30
10/30/10,43,35
10/31/10,44,36
11/01/10,44,30
11/02/10,44,34
11/03/10,44,29
11/04/10,44,31
11/05/10,44,44
11/06/10,44,40
11/07/10,45,40
11/08/10,45,49
11/09/10,45,49
11/10/10,45,63
11/11/10,45,46
11/12/10,45,33
11/13/10,45,44
11/14/10,46,29
11/15/10,46,34
11/16/10,46,24
11/17/10,46,19
11/18/10,46,9
11/19/10,46,23
11/20/10,46,12
11/21/10,47,17
11/22/10,47,12
11/23/10,47,12
11/24/10,47,9
11/25/10,47,7
11/26/10,47,8
11/27/10,47,8
11/28/10,48,9
11/29/10,48,5
11/30/10,48,4
12/01/10,48,6
12/02/10,48,4
12/03/10,48,7
12/04/10,48,7
12/05/10,49,2
12/06/10,49,5
12/07/10,49,5
12/08/10,49,4
12/09/10,49,2
12/10/10,49,4
12/11/10,49,1
12/12/10,50,1
12/13/10,50,3
12/14/10,50,1
12/15/10,50,1
12/16/10,50,2
12/17/10,50,2
12/18/10,50,3
12/19/10,51,2
12/20/10,51,1
12/27/10,52,1
12/28/10,52,1
12/31/10,52,2
