date,week,frecuency
06/04/10,22,1
07/05/10,27,1
07/25/10,30,1
08/26/10,34,1
08/30/10,35,1
09/01/10,35,1
09/06/10,36,3
09/08/10,36,1
09/09/10,36,1
09/12/10,37,2
09/14/10,37,1
09/16/10,37,2
09/18/10,37,1
09/19/10,38,6
09/20/10,38,4
09/21/10,38,6
09/22/10,38,2
09/23/10,38,4
09/24/10,38,5
09/26/10,39,4
09/27/10,39,2
09/28/10,39,1
09/29/10,39,9
09/30/10,39,4
10/01/10,39,5
10/02/10,39,9
10/03/10,40,5
10/04/10,40,2
10/05/10,40,3
10/06/10,40,8
10/07/10,40,8
10/08/10,40,6
10/09/10,40,5
10/10/10,41,7
10/11/10,41,4
10/13/10,41,4
10/14/10,41,2
10/15/10,41,8
10/16/10,41,9
10/17/10,42,7
10/18/10,42,6
10/19/10,42,7
10/20/10,42,10
10/21/10,42,11
10/22/10,42,7
10/23/10,42,7
10/24/10,43,5
10/25/10,43,5
10/26/10,43,6
10/27/10,43,6
10/28/10,43,6
10/29/10,43,3
10/30/10,43,4
10/31/10,44,4
11/01/10,44,9
11/02/10,44,9
11/03/10,44,9
11/04/10,44,4
11/05/10,44,7
11/06/10,44,7
11/07/10,45,7
11/08/10,45,4
11/09/10,45,1
11/10/10,45,5
11/11/10,45,15
11/12/10,45,8
11/13/10,45,8
11/14/10,46,2
11/15/10,46,5
11/16/10,46,4
11/17/10,46,3
11/18/10,46,2
11/19/10,46,5
11/20/10,46,1
11/21/10,47,2
11/22/10,47,1
11/23/10,47,2
11/24/10,47,3
11/25/10,47,4
11/26/10,47,2
11/28/10,48,1
11/29/10,48,2
12/01/10,48,2
12/02/10,48,1
12/04/10,48,2
12/05/10,49,1
12/06/10,49,1
12/09/10,49,1
12/10/10,49,1
12/12/10,50,1
12/15/10,50,1
12/18/10,50,3
12/19/10,51,1
12/24/10,51,1
12/28/10,52,1
12/31/10,52,1
